cell_id,operator,kills,mutants,kr,ci_lo,ci_hi
H1,arithmetic,31,33,0.9393939393939394,0.797735687473645,0.9925741622577402
H1,boundary,54,64,0.84375,0.731365755733743,0.9224426681998767
H1,comparison,16,16,1.0,0.7940927857921772,1.0
H1,negate_bool,2,2,1.0,0.15811388300841897,1.0
H1,return_none,32,33,0.9696969696969697,0.8424060277275032,0.9992330879249519
H10,arithmetic,13,37,0.35135135135135137,0.20209981528400264,0.5253887443739742
H10,boundary,31,69,0.4492753623188406,0.3292298476789326,0.573814210595208
H10,comparison,19,22,0.8636363636363636,0.6508779027425919,0.9709441488712534
H10,negate_bool,14,16,0.875,0.6165237631507364,0.9844863961845861
H10,return_none,35,46,0.7608695652173914,0.6123310898859283,0.8741386051774309
H11,arithmetic,95,123,0.7723577235772358,0.6880704494859268,0.8430901624301413
H11,boundary,132,177,0.7457627118644068,0.6749865535644999,0.80811448818621
H11,comparison,59,65,0.9076923076923077,0.809834160783301,0.9653663477859
H11,negate_bool,23,26,0.8846153846153846,0.6984595998924322,0.9755419246820378
H11,return_none,93,99,0.9393939393939394,0.8727431591698032,0.9774362015008554
H2,arithmetic,33,44,0.75,0.5966195922641409,0.8680725620663532
H2,boundary,34,61,0.5573770491803278,0.4244595124399982,0.6845358590240682
H2,comparison,22,27,0.8148148148148148,0.6191701209060056,0.9369999934623232
H2,negate_bool,14,17,0.8235294117647058,0.5656821271557161,0.962014931929374
H2,return_none,49,55,0.8909090909090909,0.7775290916597708,0.9588984951775058
H3,arithmetic,58,107,0.5420560747663551,0.44296753602698036,0.6387574754668295
H3,boundary,88,149,0.5906040268456376,0.5071466440574344,0.6703843163362531
H3,comparison,43,57,0.7543859649122807,0.6223896951980542,0.85873142226404
H3,negate_bool,18,24,0.75,0.5328871975773307,0.902269590525467
H3,return_none,74,87,0.8505747126436781,0.7580409728862713,0.9179678810531983
H4,arithmetic,13,29,0.4482758620689655,0.2644553037067049,0.6430612891960847
H4,boundary,21,35,0.6,0.42111772188209984,0.7612918895466584
H4,comparison,20,20,1.0,0.8315665290169146,1.0
H4,negate_bool,6,6,1.0,0.5407418735600995,1.0
H4,return_none,27,28,0.9642857142857143,0.8165224024553763,0.999096201244342
H5,arithmetic,48,95,0.5052631578947369,0.4007210770741544,0.6094682359227193
H5,boundary,80,127,0.6299212598425197,0.5397616137609297,0.7138733726840897
H5,comparison,42,49,0.8571428571428571,0.7275784873044024,0.940578494309687
H5,negate_bool,21,24,0.875,0.6763886418111671,0.973440685013751
H5,return_none,74,84,0.8809523809523809,0.7919451014387607,0.9414105074553334
H6,arithmetic,82,110,0.7454545454545455,0.6535355311615414,0.8237178346406608
H6,boundary,114,154,0.7402597402597403,0.6635311498924046,0.8075026275226314
H6,comparison,48,52,0.9230769230769231,0.814603395616589,0.9786434135086163
H6,negate_bool,16,17,0.9411764705882353,0.7131106033327794,0.9985118256087334
H6,return_none,81,83,0.9759036144578314,0.9156526348121033,0.9970683773063537
H7,arithmetic,80,104,0.7692307692307693,0.6763673915356427,0.8462005533239676
H7,boundary,109,147,0.7414965986394558,0.6628742446608571,0.8101211936028279
H7,comparison,53,55,0.9636363636363636,0.8747357429028499,0.9955654526814093
H7,negate_bool,16,18,0.8888888888888888,0.652879561391328,0.9862487843356355
H7,return_none,79,86,0.9186046511627907,0.8394603286669187,0.9666475709698241
H8,arithmetic,70,102,0.6862745098039216,0.5868587407410648,0.7745434548746327
H8,boundary,93,144,0.6458333333333334,0.5618685944366548,0.7236620552170137
H8,comparison,53,57,0.9298245614035088,0.8299601800413586,0.9805495793052907
H8,negate_bool,23,23,1.0,0.8518148710847756,1.0
H8,return_none,83,87,0.9540229885057471,0.8864465520333394,0.9873326241793586
H9,arithmetic,80,104,0.7692307692307693,0.6763673915356427,0.8462005533239676
H9,boundary,109,147,0.7414965986394558,0.6628742446608571,0.8101211936028279
H9,comparison,53,55,0.9636363636363636,0.8747357429028499,0.9955654526814093
H9,negate_bool,16,18,0.8888888888888888,0.652879561391328,0.9862487843356355
H9,return_none,79,86,0.9186046511627907,0.8394603286669187,0.9666475709698241
M1,arithmetic,73,229,0.31877729257641924,0.2589406869920217,0.38337951369805656
M1,boundary,99,303,0.32673267326732675,0.27419740464406966,0.38269633237149353
M1,comparison,60,110,0.5454545454545454,0.4477340449231615,0.6406663305362141
M1,negate_bool,19,34,0.5588235294117647,0.3788576439570714,0.728149803585133
M1,return_none,105,154,0.6818181818181818,0.6020198434898056,0.7544611543142281
M2,arithmetic,47,81,0.5802469135802469,0.4653608043137318,0.6890878290277171
M2,boundary,66,101,0.6534653465346535,0.5522615820966801,0.7454075288574116
M2,comparison,26,35,0.7428571428571429,0.5674411503059621,0.875106028083238
M2,negate_bool,9,11,0.8181818181818182,0.4822441476398273,0.9771688017000403
M2,return_none,54,67,0.8059701492537313,0.691088256346122,0.8924405422148135
M3,arithmetic,170,211,0.8056872037914692,0.7457678613956531,0.8568013100035865
M3,boundary,217,290,0.7482758620689656,0.694213644228428,0.7971859649384077
M3,comparison,93,102,0.9117647058823529,0.8391018077437135,0.9588561686222814
M3,negate_bool,22,24,0.9166666666666666,0.7300271984423964,0.9897436587187498
M3,return_none,142,147,0.9659863945578231,0.9224106648681316,0.988865320022974
M4,arithmetic,186,255,0.7294117647058823,0.6704566733082811,0.7829470510486778
M4,boundary,240,347,0.69164265129683,0.64012341092997,0.739855193481819
M4,comparison,114,129,0.8837209302325582,0.8154753310506253,0.9334381676136025
M4,negate_bool,39,42,0.9285714285714286,0.8051688018435087,0.98502030832929
M4,return_none,171,187,0.9144385026737968,0.8647719453435092,0.9503023608293124
M5,arithmetic,90,148,0.6081081081081081,0.5245601056301857,0.6872369110468044
M5,boundary,118,210,0.5619047619047619,0.4919472953176489,0.6300895272452645
M5,comparison,59,74,0.7972972972972973,0.6878049717663884,0.8818759010136097
M5,negate_bool,20,27,0.7407407407407407,0.5371512577238284,0.8888554371545576
M5,return_none,95,114,0.8333333333333334,0.7520284488093072,0.8965698166019271
M6,arithmetic,93,136,0.6838235294117647,0.598606370775099,0.7608312469713202
M6,boundary,118,178,0.6629213483146067,0.5883890511214864,0.7319235417049272
M6,comparison,60,68,0.8823529411764706,0.7812828942922205,0.9478162553301192
M6,negate_bool,17,18,0.9444444444444444,0.7270564003266315,0.9985944438326306
M6,return_none,97,103,0.941747572815534,0.8775129610720429,0.9783248021080844
