cell_id,both_agree_valid,both_agree_invalid,false_closure_candidate,metric_false_negative,structural_NA,n_rows,false_closure_pct,metric_fn_pct
H1,64,0,15,2,8,89,16.9,2.2
H10,22,0,9,3,41,75,12.0,4.0
H11,61,0,9,1,4,75,12.0,1.3
H2,35,0,4,2,34,75,5.3,2.7
H3,50,0,9,2,14,75,12.0,2.7
H4,60,0,5,1,9,75,6.7,1.3
H5,50,0,9,0,16,75,12.0,0.0
H6,53,0,9,0,13,75,12.0,0.0
H7,57,0,7,2,9,75,9.3,2.7
H8,53,0,10,0,12,75,13.3,0.0
H9,54,0,6,1,14,75,8.0,1.3
M1,75,6,22,20,27,150,14.7,13.3
M2,63,2,13,6,66,150,8.7,4.0
M3,100,1,16,0,33,150,10.7,0.0
M4,116,0,22,2,10,150,14.7,1.3
M5,98,1,23,4,24,150,15.3,2.7
M6,108,0,16,2,24,150,10.7,1.3
N1,23,16,18,3,15,75,24.0,4.0
N2,0,0,0,0,75,75,0.0,0.0
N3,0,0,0,0,75,75,0.0,0.0
