cell_id,arithmetic,boundary,comparison,negate_bool,return_none
M1,0.319,0.327,0.545,0.559,0.682
M2,0.58,0.653,0.743,0.818,0.806
M3,0.806,0.748,0.912,0.917,0.966
M4,0.729,0.692,0.884,0.929,0.914
M5,0.608,0.562,0.797,0.741,0.833
M6,0.684,0.663,0.882,0.944,0.942
H1,0.939,0.844,1.0,1.0,0.97
H2,0.75,0.557,0.815,0.824,0.891
H3,0.542,0.591,0.754,0.75,0.851
H4,0.448,0.6,1.0,1.0,0.964
H5,0.505,0.63,0.857,0.875,0.881
H6,0.745,0.74,0.923,0.941,0.976
H7,0.769,0.741,0.964,0.889,0.919
H8,0.686,0.646,0.93,1.0,0.954
H9,0.769,0.741,0.964,0.889,0.919
H10,0.351,0.449,0.864,0.875,0.761
H11,0.772,0.746,0.908,0.885,0.939
