Hetero,Path,Hetero mean,Mono(L\_spec),Mono(L\_test),Mono(L\_code),Bottleneck stage,$\Delta$ to bottleneck
H1,1,0.854,0.769,0.862,0.862,spec,0.085
H1,2,0.674,0.547,0.647,0.647,spec,0.127
H1,3,0.194,0.185,0.219,0.219,spec,0.009
H2,1,0.862,0.9,0.769,0.862,test,0.093
H2,2,0.613,0.647,0.547,0.647,test,0.067
H2,3,0.185,0.208,0.185,0.219,test,0.0
H3,1,0.787,0.856,0.781,0.862,test,0.006
H3,2,0.671,0.647,0.533,0.647,test,0.138
H3,3,0.221,0.282,0.261,0.219,code,0.001
H4,1,0.862,0.862,0.862,0.577,code,0.285
H4,2,0.453,0.647,0.647,0.367,code,0.087
H4,3,0.199,0.219,0.219,0.245,spec,-0.021
H5,1,0.811,0.577,0.862,0.862,spec,0.234
H5,2,0.667,0.367,0.647,0.647,spec,0.3
H5,3,0.218,0.245,0.219,0.219,test,-0.002
H7,1,0.872,0.862,0.9,0.769,code,0.103
H7,2,0.6,0.647,0.647,0.547,code,0.053
H7,3,0.2,0.219,0.208,0.185,code,0.015
