tau,0.0,0.0,0.0,0.999,0.999,0.999
rho,2,3,4,2,3,4
cell_id,,,,,,
M1,0.347,0.306,0.048,0.347,0.306,0.048
M2,0.524,0.497,0.189,0.524,0.497,0.189
M3,0.633,0.612,0.279,0.633,0.612,0.279
M4,0.622,0.608,0.308,0.622,0.608,0.308
M5,0.528,0.486,0.169,0.528,0.486,0.169
M6,0.603,0.589,0.253,0.603,0.589,0.253
H1,0.652,0.64,0.292,0.652,0.64,0.292
H2,0.583,0.556,0.181,0.583,0.556,0.181
H3,0.677,0.646,0.231,0.677,0.646,0.231
H4,0.432,0.405,0.203,0.432,0.405,0.203
H5,0.64,0.627,0.28,0.64,0.627,0.28
H6,0.547,0.547,0.36,0.547,0.547,0.36
H7,0.589,0.575,0.329,0.589,0.575,0.329
H8,0.595,0.581,0.243,0.595,0.581,0.243
H9,0.613,0.613,0.307,0.613,0.613,0.307
H10,0.6,0.56,0.187,0.6,0.56,0.187
H11,0.653,0.613,0.307,0.653,0.613,0.307
N1,0.095,0.095,0.014,0.095,0.095,0.014
N2,0.64,0.627,0.28,0.64,0.627,0.28
N3,,,,,,
